,x,y,z,img
0,113.174515,57.66098,-28.576105,CH-1995-1
1,-68.77682,13.284062,-35.528374,CH-1995-3
2,37.751232,75.05929,118.965,E-1995-4
3,37.73869,62.94582,-11.827152,E-1995-7
4,76.45669,6.5887184,-25.485973,E-1995-19
5,76.40545,48.96543,129.4441,E-1995-23
6,46.971947,35.486942,-74.17601,E-1995-34
7,-7.6523747,6.776095,13.476067,I-1995-2
8,-21.735758,-14.244943,-35.952324,I-1995-12
9,10.789773,45.19126,-63.69448,I-1995-19
10,51.936497,-20.801296,-31.891981,E-1996-7
11,3.9557548,66.68459,-32.468613,E-1996-9
12,11.093882,33.631466,-13.611339,Blue Poster_1997
13,25.52436,44.111855,22.229403,Connection_1997
14,-12.459585,-55.041492,-38.371773,Decor_1997
15,14.086951,-30.913479,-64.236,Doll's House_1997
16,26.514788,7.8291326,34.296528,Eve_1997
17,16.453772,12.304702,-94.16468,Glass_1997
18,68.11283,45.819622,-34.20821,Green Wall_1997
19,41.62469,8.853835,-1.3520466,NL-1997-1_1997
20,11.58926,6.248584,-54.463905,Pit_1997
21,39.575775,22.217602,-36.84743,Soil_1997
22,74.97949,1.9755816,15.579404,Wood_1997
23,9.650648,-3.407547,-19.874056,Contour_1997
24,15.413285,3.5942986,83.01024,13 Aeroplanes_1998
25,30.925102,2.8948336,-146.29604,A Moon_1998(missing)
26,43.626446,16.871548,107.05116,Bay Area_1998
27,88.60916,17.12044,61.27502,Constellation_1998
28,5.221624,-142.32849,-108.32736,Double Mist_1998
29,51.659725,36.811657,71.74097,H2O_1998
30,104.79011,-23.671028,46.014206,High Pool_1998
31,52.26879,-3.3726447,67.94682,Landscape_1998
32,54.456383,-23.697733,105.49524,Long Beach_1998
33,62.36932,31.22192,-130.96977,Meander_1998
34,-163.88113,41.02172,-12.245224,Neon_1998
35,84.18032,-23.567602,79.11918,Suburb_1998
36,84.77826,9.082596,102.66447,Transit_1998
37,-105.83764,-35.39653,123.291245,Water_1998
38,48.105328,-6.7573195,-69.49193,Apartment_1999
39,-23.478651,16.745363,-62.28819,3 Piano_1999
40,23.621773,-32.319443,42.665524,Avenue_1999
41,68.07534,41.559586,8.9231825,Block_1999
42,20.588785,-40.905865,-27.143896,Circuit_1999
43,22.377415,-25.092615,6.9061537,Corridor_1999
44,-17.409746,-11.935245,-87.822235,Interval_1999
45,-28.40414,53.160553,-50.56092,Set_1999
46,-56.384106,-57.16956,134.55746,Transfer_1999
47,135.15001,-50.218235,-45.543243,Descent_2000
48,-16.976284,95.70226,-79.69521,Balance_2000
49,76.68358,89.694115,-115.72782,Complex_2000
50,8.086874,119.60743,-29.693266,Court_2000
51,113.87583,-94.316,15.659255,Facade_2000
52,-55.638115,-23.656036,-5.0906143,Flow_2000
53,43.515583,107.94844,80.264206,Home_2000
54,-104.33811,-6.117294,-43.21785,Neighbourhood_2000
55,98.01501,114.44896,-89.467804,Spot_2000
56,157.02228,-43.26854,3.3051114,Capital_2000
57,-30.770077,98.828125,-135.00725,Parallel_2000
58,81.13114,-18.63658,-156.95837,Exit_2001
59,-25.374327,-30.760136,-157.38782,Ground_2001
60,91.80902,34.576836,-86.89225,Passing_2001
61,94.57884,-1.5146508,-75.17159,Setting_2001
62,117.16369,16.414995,-30.831463,Still_2001
63,138.85838,-20.05731,-89.54607,Building_2001
64,-103.877884,4.0031524,-4.839865,Expo_2001
65,63.156307,-61.826984,151.15498,Flux_2001
66,131.48349,-97.13098,68.17047,Intersection_2001
67,43.12021,90.34746,-152.23225,Two Sixty Four_2001
68,-28.813566,30.088238,-13.667866,Domicile_2002
69,-75.06738,-56.604824,-132.79236,Park _2002
70,174.35622,10.55565,47.4675,Gate_2002
71,53.617435,-62.160374,-64.847015,Mezzanine_2002
72,-137.76927,-9.13716,-40.848625,Quarter_2002
73,-49.95541,-57.688904,-89.52747,Terrace_2002
74,98.12925,-106.559494,-88.73477,Tube_2002
75,-141.14948,-14.820213,-109.21487,Intermezzo_2003
76,1.6087269,49.848198,-121.03815,Info_2003
77,-29.432535,-41.802376,11.714989,Tour_2003
78,103.61232,-108.045654,-42.565563,Midi_2003
79,80.27493,-93.838264,-35.224674,Lille_2003
80,-25.409447,-162.37567,-33.354004,Metro_2003
81,59.74657,-145.33556,-65.37696,Etage_2003
82,-113.88746,40.898888,27.475954,Platform_2003
83,13.923636,-49.33674,128.54964,Habitat_2003
84,-110.75145,33.514988,-126.14572,Annex_2003
85,174.26678,0.7824367,-34.17101,Column_2003
86,-77.05555,125.49207,-92.01832,Crop_2003
87,141.90536,101.32772,-34.034267,Focus_2003
88,39.85154,-155.77122,15.426426,Grid_2003
89,149.9583,-35.91182,68.63719,Lobby_2003
90,-147.00203,-114.20571,3.740981,Model_2003
91,-127.19037,-41.63772,72.66666,Plateau_2003
92,-58.98359,9.056962,-131.7986,Prospect_2004
93,-52.537197,11.115858,91.714134,Nexus_2004
94,-60.67951,68.80677,-8.032073,Level_2004
95,76.99857,-91.71002,97.84448,Gazette_2004
96,-52.719227,-110.044266,-126.6562,Plan_2004
97,28.229904,-110.720055,-3.5212686,Frame_2004
98,49.06802,-107.96664,13.479374,Section_2004
99,-31.556187,-3.1076496,112.7962,Facet_2004
100,-110.70029,-95.69192,-96.45704,Class_2004
101,-105.87692,-53.13646,-70.52819,Panorama_2004
102,-24.452984,-15.480894,51.6453,Sequence_2004
103,-127.41734,-125.95109,32.62909,Palace_2004
104,-13.17744,-172.78975,42.85261,Link_2004
105,12.448938,-170.33699,-12.231399,Gallery_2004
106,12.001346,-41.941833,-120.23666,Front_2004
107,138.87576,26.111065,100.13815,Canvas_2004
108,28.717768,91.55724,-100.832306,Match_2004
109,24.168564,-110.76997,114.78396,Scene_2004
110,160.53508,-100.06485,-33.621326,Module_2004
111,90.333466,-157.93478,-6.3492703,Zone_2004
112,54.059677,-84.44428,-116.89282,Loop_2005
113,4.5173025,-134.09975,-52.6411,Enterprise_2005
114,-66.398735,-44.083195,43.679726,Display_2005
115,0.052426733,61.877335,99.2737,Enclave_2005
116,-46.903217,102.84705,18.416775,Domain_2005
117,-142.45415,4.728377,17.290287,Room_2005
118,-25.245623,144.47127,23.170118,Core_2005
119,-159.44316,50.309975,49.563763,Palette_2005
