Name,Year,About the medium,Documentary,Abstraction,Framing,Scaling,Reflection,Symmetry,Repeating elements,Composite,Front facing,Angle,Looking Up,Bird Eye View,Importance of Detail,Blur,Video,Long Exposure,Loop,Time Lapse,Crossover,Layers,Photoshop,Archetype,Metaphor,Location focus
CH-1995-1,1995,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH-1995-3,1995,0,0.5,0.5,0,1,0,0,0.2,0,0,0,0,1,0.5,0.5,0,0,0,0,0,0,0,0.7,0.5,0
E-1995-4,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E-1995-7,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E-1995-19,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E-1995-23,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E-1995-34,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I-1995-2,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I-1995-12,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I-1995-19,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E-1996-7,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E-1996-9,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blue Poster_1997,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Connection_1997,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Decor_1997,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Doll's House_1997,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eve_1997,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glass_1997,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Green Wall_1997,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NL-1997-1_1997,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pit_1997,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Soil_1997,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wood_1997,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Contour_1997,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13 Aeroplanes_1998,1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A Moon_1998(missing),1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bay Area_1998,1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Constellation_1998,1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Double Mist_1998,1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H2O_1998,1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
High Pool_1998,1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Landscape_1998,1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Long Beach_1998,1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meander_1998,1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neon_1998,1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Suburb_1998,1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Transit_1998,1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Water_1998,1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apartment_1999,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3 Piano_1999,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Avenue_1999,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Block_1999,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Circuit_1999,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Corridor_1999,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Interval_1999,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Set_1999,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Transfer_1999,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Descent_2000,2000,0.7,1,0.5,0,0,0,0,0,0,0,1,0,0.7,1,0,0,0,0,0,0,0,0,0.3,0,0
Balance_2000,2000,0.5,1,0.7,1,0,0.5,1,1,0,1,0,0,0.2,1,0.5,0,0,0,0,0,1,0,0,0,0
Complex_2000,2000,0,0.3,0.5,0.3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Court_2000,2000,1,0,0.7,0,0,0,0,0,0,0.7,0.3,0.3,0,0,1,0,0,0,0,0,0.7,0,0,0,0
Facade_2000,2000,1,0,0.7,0.7,0,1,1,1,0,1,1,0,0,0,0.2,0,0,0,0,0,1,0,0,0,0
Flow_2000,2000,0,1,0.2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0.3,0,0
Home_2000,2000,0,1,0,0,0,0,0,0.7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neighbourhood_2000,2000,0,0.5,0.5,0,1,0,0,0.7,0,0,1,0.7,0,0,0.5,0,0,0,0,0,0,0,0.3,0,0
Spot_2000,2000,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Capital_2000,2000,0,0.5,1,0,0,0,0,0.6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.4,1
Parallel_2000,2000,0,1,0.5,0,0,0,0,0.8,0,0,1,0.7,0,1,0,0,0,0,0,0,0.5,0,0.4,0,0
Exit_2001,2001,0,1,0.2,0,0,0,0.4,0.6,0,0.8,0.2,0.8,0,0,0,0,0,0,0,0,0,0,0.4,0,0
Ground_2001,2001,0,1,0.2,0,1,0,0,0.8,0,0.8,0,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0
Passing_2001,2001,0,1,0.2,0,0,0,1,0.3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Setting_2001,2001,0.5,0.5,0.5,1,0,0.8,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0
Still_2001,2001,0.5,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Building_2001,2001,0.5,0.5,0.5,1,0,0,0.3,0,0,1,1,0,0.2,0,0,0,0,0,0,0,1,1,0,0,0
Expo_2001,2001,0,1,0.5,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Flux_2001,2001,0.5,1,0.3,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Intersection_2001,2001,1,0,1,0,0,0.7,0,1,0,1,0,0,0.4,1,0.5,0,0,0,0,0,1,0,0,0,0
Two Sixty Four_2001,2001,0.3,1,0.7,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Domicile_2002,2002,0,0,1,0,0,0,0.7,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Park _2002,2002,0.2,1,0.2,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gate_2002,2002,0,0.5,0.5,0,1,0,0,1,0,0,0,0,1,1,0.5,0,0,0,1,0,0,0,0.5,0,0
Mezzanine_2002,2002,1,1,0.4,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Quarter_2002,2002,0,1,0.5,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.3,0,0
Terrace_2002,2002,0.2,1,0.4,0.7,0,0,0.8,0.8,0,0.5,0.5,1,0,0.8,0,0,0,0,0,0,1,0,0.3,0,0
Tube_2002,2002,0,1,0,0,0,0.4,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Intermezzo_2003,2003,0,1,0.5,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
Info_2003,2003,1,1,1,1,0,0.6,0.7,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Tour_2003,2003,0,0.5,0.5,0,1,0,0.7,1,0,0,0,0,1,0,0.5,0,0,0,1,0,0,0,0,0,0.5
Midi_2003,2003,1,1,0.3,1,0,1,0.7,0.4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Lille_2003,2003,0,0,0.5,0,1,0,1,0.5,0,1,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0
Metro_2003,2003,0.5,1,0.5,0,0,0.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Etage_2003,2003,0.5,1,0.5,1,0,0,0,0.8,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Platform_2003,2003,1,0.3,0.7,0,0,0,0,0,0,0,1,0.5,0,0,1,0,0,0,0,0,0,0,0,0.6,1
Habitat_2003,2003,0,1,0.4,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
Annex_2003,2003,0,1,0.3,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
Column_2003,2003,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Crop_2003,2003,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0
